place,title,coverage
qsr-place:2606,15 Dunns Avenue,"-43.3789,172.7018"
qsr-place:927,15 Farrington Avenue,"-43.4946,172.5783"
qsr-place:1729,15 Hororata Road,"-43.5373,171.9534"
qsr-place:2891,15 Keller Street,"-43.5209,172.6655"
qsr-place:28,15 Mortimer Place,"-43.5390,172.6407"
qsr-place:1136,15 Oxford Street,"-43.6035,172.7222"
qsr-place:576,15 Wakefield Avenue,"-43.5692,172.7593"
qsr-place:2692,15 Waygreen Avenue,"-43.5000,172.7047"
qsr-place:2020,15 Worcester Street,"-43.5308,172.6285"
qsr-place:382,150 Gloucester Street,"-43.5301,172.6382"
qsr-place:2545,150 Hastings Street East,"-43.5490,172.6476"
qsr-place:1779,150 Hereford Street,"-43.5322,172.6381"
qsr-place:1250,150 High Street,"-43.5351,172.6411"
qsr-place:2406,150 Kilmore Street,"-43.5267,172.6407"
qsr-place:2304,150 Leaver Terrace,"-43.496,172.718"
qsr-place:1754,150 Lichfield Street,"-43.5344,172.6418"
qsr-place:2983,150 Madras Street,"-43.5370,172.6428"
qsr-place:747,150 Manchester Street,"-43.5326,172.6398"
qsr-place:1395,150 St Asaph Street,"-43.5365,172.6344"
qsr-place:1058,151 Bealey Avenue,"-43.5206,172.6359"
qsr-place:1700,151 Cashmere Road,"-43.575,172.6174"
qsr-place:2226,151 Greers Road,"-43.5076,172.5777"
qsr-place:297,151 Hereford Street,"-43.5319,172.6382"
qsr-place:486,151 Kilmore Street,"-43.5263,172.6383"
qsr-place:2173,151 Woodham Road,"-43.5250,172.6703"
qsr-place:255,151 Worcester Street,"-43.5308,172.6406"
qsr-place:1079,152 Cashel Street,"-43.5333,172.6373"
qsr-place:383,152 Gloucester Street,"-43.5301,172.6383"
qsr-place:1748,152 High Street,"-43.5349,172.6409"
qsr-place:1755,152 Lichfield Street,"-43.5344,172.6420"
qsr-place:1556,152 Oxford Terrace,"-43.5316,172.6341"
qsr-place:2792,152 Queensbury Street,"-43.5046,172.6780"
qsr-place:2569,153 Lichfield Street,"-43.5338,172.6434"
qsr-place:2479,"153 Williams Street, Kaiapoi","-43.3813,172.6593"
qsr-place:2273,154 Aldwins Road,"-43.5346,172.6727"
qsr-place:1701,154 Cashel Street,"-43.5334,172.6375"
qsr-place:384,154 Gloucester Street,"-43.5301,172.6383"
qsr-place:2267,154 High Street,"-43.5349,172.6409"
qsr-place:2700,154 Kingsford Street,"-43.4987,172.6743"
qsr-place:1965,154 Manchester Street,"-43.5324,172.6399"
qsr-place:2788,154 Queensbury Street,"-43.5044,172.6782"
qsr-place:1269,154 Worcester Street,"-43.5312,172.6413"
qsr-place:2297,155 Greenpark Road,"-43.686,172.502"
qsr-place:1628,155 High Street,"-43.5359,172.6416"
qsr-place:1181,155 Kilmore Street,"-43.5264,172.6387"
qsr-place:307,155 Montreal Street,"-43.5393,172.6303"
qsr-place:725,155 Peterborough Street,"-43.5251,172.6392"
qsr-place:548,155 Queensbury Street,"-43.5044,172.6776"
qsr-place:2453,"155 Williams Street, Kaiapoi","-43.3811,172.6597"
qsr-place:667,155 Worcester Street,"-43.5306,172.6409"
qsr-place:23,156 Armagh Street,"-43.5289,172.6382"
qsr-place:24,156 Lichfield Street,"-43.5344,172.6421"
qsr-place:2159,156 McCormacks Bay Road,"-43.5569,172.7313"
qsr-place:2790,156 Queensbury Street,"-43.5042,172.6780"
qsr-place:924,156 Union Street,"-43.5166,172.7291"
qsr-place:2467,"156 Williams Street, Kaiapoi","-43.3841,172.6568"
qsr-place:296,157 Fitzgerald Avenue,"-43.5314,172.6502"
qsr-place:1778,157 Hereford Street,"-43.5319,172.6384"
qsr-place:750,157 Tuam Street,"-43.5351,172.6370"
qsr-place:411,158 Armagh Street,"-43.5289,172.6383"
qsr-place:469,158 Dyers Pass Road,"-43.5814,172.6339"
qsr-place:218,158 Gloucester Street,"-43.5301,172.6385"
qsr-place:981,158 Hereford Street,"-43.5323,172.6383"
qsr-place:993,158 High Street,"-43.5348,172.6408"
qsr-place:394,158 Lichfield Street,"-43.5344,172.6422"
qsr-place:860,158 Mairehau Road,"-43.4846,172.6755"
qsr-place:164,158 Manchester Street,"-43.5323,172.6399"
qsr-place:1288,158 Marine Parade,"-43.5015,172.7284"
qsr-place:2778,158 Queensbury Street,"-43.5041,172.6780"
qsr-place:278,159 Cranford Street,"-43.5064,172.6360"
qsr-place:1777,159 Hereford Street,"-43.5318,172.6386"
qsr-place:693,159 High Street,"-43.5359,172.6415"
qsr-place:755,159 Manchester Street,"-43.5339,172.6395"
qsr-place:1009,159 Oxford Terrace,"-43.5308,172.6336"
qsr-place:2835,16 Arnst Place,"-43.5077,172.6802"
qsr-place:2861,16 Bracken Street,"-43.5207,172.6645"
qsr-place:836,16 Brittan Terrace,"-43.6050,172.7094"
qsr-place:842,16 Caithness Street,"-43.5020,172.7125"
qsr-place:1581,16 Canterbury Street,"-43.6028,172.7206"
qsr-place:2339,16 Halley Place,"-43.5203,172.6669"
qsr-place:1093,16 Heaton Street,"-43.5134,172.6104"
qsr-place:2594,"16 Jollie Street, Kaiapoi","-43.3861,172.6665"
qsr-place:2144,16 Kahu Road,"-43.5266,172.5979"
qsr-place:2754,16 Liggins Street,"-43.5008,172.6756"
qsr-place:2905,16 London Street,"-43.6027,172.7219"
qsr-place:2225,16 Nayland Street,"-43.5688,172.7573"
qsr-place:1868,16 Norwich Quay,"-43.6037,172.7215"
qsr-place:825,16 Nursery Road,"-43.5391,172.6572"
qsr-place:1648,16 Oxford Street,"-43.6036,172.7225"
qsr-place:2249,16 Station Road,"-43.5772,172.7080"
qsr-place:855,16 Te Papau Crescent,"-43.6329,172.7380"
qsr-place:2670,16 Waygreen Avenue,"-43.5005,172.7054"
qsr-place:1034,160 Cashel Street,"-43.5335,172.6377"
qsr-place:1762,160 Estuary Road,"-43.527,172.733"
qsr-place:2220,160 Gloucester Street,"-43.5301,172.6386"
qsr-place:549,160 Kingsford Street,"-43.4977,172.6740"
qsr-place:395,160 Lichfield Street,"-43.5344,172.6424"
qsr-place:407,160 Manchester Street,"-43.5323,172.6398"
qsr-place:2779,160 Queensbury Street,"-43.5039,172.6780"
qsr-place:22,160 Tuam Street,"-43.5354,172.6357"
qsr-place:472,161 Cashel Street,"-43.5329,172.6390"
qsr-place:1747,161 Kilmore Street,"-43.5264,172.6392"
qsr-place:1542,162 Gloucester Street,"-43.5300,172.6387"
qsr-place:1008,162 Grahams Road,"-43.5018,172.5772"
qsr-place:2780,162 Queensbury Street,"-43.5040,172.6784"
qsr-place:736,163 Bowhill Road,"-43.4976,172.7170"
qsr-place:265,163 Cranford Street,"-43.5062,172.6358"
qsr-place:2295,163 Gilberthorpes Road,"-43.529,172.521"
qsr-place:2623,163 Gloucester Street,"-43.5297,172.6390"
qsr-place:1804,163 Manchester Street,"-43.5335,172.6394"
qsr-place:1714,163 Papanui Road,"-43.5135,172.6223"
qsr-place:616,163 Tuam Street,"-43.535,172.6379"
qsr-place:1687,163 Worcester Street,"-43.5308,172.6413"
qsr-place:797,164 Harewood Road,"-43.4916,172.5973"
qsr-place:1743,164 Hereford Street,"-43.5323,172.6387"
qsr-place:1740,164 High Street,"-43.5347,172.6407"
qsr-place:1001,164 Lichfield Street,"-43.5343,172.6428"
qsr-place:1304,165 Cashel Street,"-43.5330,172.6389"
qsr-place:2553,165 Gloucester Street,"-43.5297,172.6390"
qsr-place:1776,165 Hereford Street,"-43.5318,172.6389"
qsr-place:2320,165 Lichfield Street,"-43.5338,172.6441"
qsr-place:514,165 Locksley Avenue,"-43.5134,172.6816"
qsr-place:2271,165 Madras Street,"-43.5376,172.6424"
qsr-place:1805,165 Manchester Street,"-43.5334,172.6394"
qsr-place:699,165 Tuam Street,"-43.5351,172.6379"
qsr-place:721,166 Bexley Road,"-43.5137,172.7181"
qsr-place:454,166 Cashel Street,"-43.5334,172.6381"
qsr-place:626,166 Cranford Street,"-43.5057,172.636"
qsr-place:673,166 Gloucester Street,"-43.5302,172.6391"
qsr-place:2782,166 Queensbury Street,"-43.5038,172.6781"
qsr-place:2457,"166 Williams Street, Kaiapoi","-43.3838,172.6569"
qsr-place:2132,167 Armagh Street,"-43.5285,172.6406"
qsr-place:761,167 Hereford Street,"-43.5320,172.6391"
qsr-place:998,167 High Street,"-43.5357,172.6414"
qsr-place:1875,167 Peterborough Street,"-43.5252,172.6400"
qsr-place:1967,167 Victoria Street,"-43.5218,172.6284"
qsr-place:2970,168 Clyde Road,"-43.516,172.591"
qsr-place:2441,168 Hereford Street,"-43.5321,172.6389"
qsr-place:2772,168 Queensbury Street,"-43.5038,172.6778"
qsr-place:2468,"168 Williams Street, Kaiapoi","-43.3837,172.6570"
qsr-place:2572,169 Gloucester Street,"-43.5297,172.6393"
qsr-place:1736,169 Hereford Street,"-43.5319,172.6392"
qsr-place:566,169 Locksley Avenue,"-43.5132,172.6821"
qsr-place:2899,17 Daytona Place,"-43.4808,172.6944"
qsr-place:921,17 Domett Street,"-43.5512,172.6505"
qsr-place:2531,17 Dunns Avenue,"-43.3788,172.7018"
qsr-place:1679,17 Gayhurst Road,"-43.520,172.673"
qsr-place:2608,17 Gray Crescent,"-43.3833,172.6668"
qsr-place:884,17 Islay Place,"-43.5428,172.6737"
qsr-place:557,17 Liggins Street,"-43.5001,172.6757"
qsr-place:1196,17 London Street,"-43.6028,172.7218"
qsr-place:163,17 Norwich Quay,"-43.6040,172.7212"
qsr-place:1255,17 Oxford Street,"-43.6034,172.7223"
qsr-place:940,17 Ranui Street,"-43.5321,172.5228"
qsr-place:162,17 Rossall Street,"-43.5218,172.6169"
qsr-place:2488,17 Rue Lavaud,"-43.8018,172.9698"
qsr-place:2589,17 Sheppard Place,"-43.508,172.635"
qsr-place:1586,17 Sir William Pickering Drive,"-43.4953,172.5596"
qsr-place:952,17 Tovey Street,"-43.5172,172.7327"
qsr-place:539,17 Waitaki Street,"-43.5085,172.7173"
qsr-place:2648,17 Wetlands Grove,"-43.5171,172.7203"
qsr-place:653,17 Whero Avenue,"-43.6283,172.7355"
qsr-place:122,17 Winchester Street,"-43.6018,172.7213"
qsr-place:838,17 York Street,"-43.5513,172.6534"
qsr-place:227,170 Anzac Drive,"-43.515,172.717"
qsr-place:2312,170 Burwood Road,"-43.489,172.684"
qsr-place:1428,170 Cashel Street,"-43.5334,172.6389"
qsr-place:1051,170 Oxford Terrace,"-43.5306,172.6342"
qsr-place:597,170 Peterborough Street,"-43.5259,172.6401"
qsr-place:2774,170 Queensbury Street,"-43.5036,172.6778"
qsr-place:1206,170 Stanmore Road,"-43.5267,172.6574"
qsr-place:1880,170 Tuam Street,"-43.5354,172.6363"
qsr-place:1957,171 High Street,"-43.5357,172.6414"
qsr-place:1795,172 Cashel Street,"-43.5333,172.6394"
qsr-place:1953,172 Hereford Street,"-43.5322,172.6391"
qsr-place:2567,172 High Street,"-43.5346,172.6408"
qsr-place:1198,"172 High Street, Rangiora","-43.3035,172.5936"
qsr-place:2405,172 Kilmore Street,"-43.5267,172.6407"
qsr-place:556,172 Queensbury Street,"-43.5032,172.6777"
qsr-place:2413,172 Rose Street,"-43.566,172.625"
qsr-place:1207,172 Stanmore Road,"-43.5266,172.6574"
qsr-place:1039,173 Cashel Street,"-43.5330,172.6394"
qsr-place:2909,173 Dyers Road,"-43.5423,172.6994"
qsr-place:2152,173 High Street,"-43.5356,172.6414"
qsr-place:2242,173 Manchester Street,"-43.5330,172.6395"
qsr-place:266,173 Victoria Street,"-43.5215,172.6282"
qsr-place:72,174 Gloucester Street,"-43.5300,172.6394"
qsr-place:780,174 High Street,"-43.5346,172.6404"
qsr-place:2724,174 Kingsford Street,"-43.4971,172.6751"
qsr-place:2588,174 Wainoni Road,"-43.512,172.693"
qsr-place:961,176 Barbadoes Street,"-43.5366,172.6459"
qsr-place:1763,176 Gloucester Street,"-43.5300,172.6394"
qsr-place:782,176 High Street,"-43.5346,172.640"
qsr-place:1050,176 Oxford Terrace,"-43.5302,172.6342"
qsr-place:2219,176 Papanui Road,"-43.5129,172.6227"
qsr-place:2462,"176 Williams Street, Kaiapoi","-43.3831,172.6572"
qsr-place:857,177 Centaurus Road,"-43.5611,172.6517"
qsr-place:1286,177 Chester Street East,"-43.5275,172.6499"
qsr-place:1734,177 Manchester Street,"-43.5329,172.6394"
qsr-place:2879,177 River Road,"-43.5236,172.6594"
qsr-place:474,177 Victoria Street,"-43.5214,172.6282"
qsr-place:654,178 Cashel Street,"-43.5331,172.6400"
qsr-place:74,178 Ferry Road,"-43.5393,172.6538"
qsr-place:1504,178 Hereford Street,"-43.5322,172.6394"
qsr-place:783,178 High Street,"-43.5345,172.640"
qsr-place:1811,178 Manchester Street,"-43.5312,172.6399"
qsr-place:2130,178 North Avon Road,"-43.5177,172.6634"
qsr-place:1400,178 St Asaph Street,"-43.5366,172.6362"
qsr-place:1199,178 Williams Street,"-43.3824,172.6579"
qsr-place:1746,179 Cashel Street,"-43.5329,172.6399"
qsr-place:1688,179 Hereford Street,"-43.5319,172.6399"
qsr-place:2558,179 Shaw Avenue,"-43.5071,172.7267"
qsr-place:2120,179 Tuam Street,"-43.5350,172.6389"
qsr-place:267,179 Victoria Street,"-43.5213,172.6282"
qsr-place:2233,18 Bedford Row,"-43.5338,172.6408"
qsr-place:718,18 Birch Street,"-43.5151,172.7201"
qsr-place:2895,18 Bracken Street,"-43.5205,172.6645"
qsr-place:1956,18 Canterbury Street,"-43.6026,172.7207"
qsr-place:1488,18 Cranmer Square,"-43.5279,172.6315"
qsr-place:2547,18 Isabella Place,"-43.5432,172.6644"
qsr-place:2599,"18 Kirk Street, Kaiapoi","-43.3834,172.6706"
qsr-place:596,18 Landy Street,"-43.5136,172.6797"
qsr-place:2742,18 Liggins Street,"-43.5007,172.6758"
qsr-place:2079,18 Norwich Quay,"-43.6036,172.7213"
qsr-place:2247,18 Percy Street,"-43.5345,172.6599"
qsr-place:1877,18 Peterborough Street,"-43.5259,172.6293"
qsr-place:2668,18 Waygreen Avenue,"-43.5002,172.7055"
qsr-place:161,18 Winchester Street,"-43.6013,172.7219"
qsr-place:1749,180 Avonside Drive,"-43.5242,172.6630"
qsr-place:408,180 Ferry Road,"-43.5393,172.6539"
qsr-place:1822,180 Manchester Street,"-43.5311,172.6399"
qsr-place:2712,180 North Avon Road,"-43.5178,172.6636"
qsr-place:251,180 Peterborough Street,"-43.5258,172.6408"
qsr-place:1210,180 Tuam Street,"-43.5355,172.6372"
qsr-place:264,181 Armagh Street,"-43.5286,172.6416"
qsr-place:75,181 Barbadoes Street,"-43.5362,172.6455"
qsr-place:285,181 Cashel Street,"-43.5330,172.6401"
qsr-place:1164,181 High Street,"-43.5354,172.6411"
qsr-place:1876,181 Peterborough Street,"-43.5253,172.6409"
qsr-place:2728,181 Queensbury Street,"-43.5024,172.6770"
qsr-place:424,181 Victoria Street,"-43.5213,172.6281"
qsr-place:76,182 Armagh Street,"-43.5289,172.6390"
qsr-place:1794,182 Cashel Street,"-43.5334,172.6401"
qsr-place:409,182 Ferry Road,"-43.5393,172.6539"
qsr-place:1262,182 Hereford Street,"-43.5321,172.6400"
qsr-place:2166,182 Oxford Terrace,"-43.5302,172.6343"
qsr-place:760,183 Cashel Street,"-43.5330,172.6402"
qsr-place:1981,183 Durham Street South,"-43.5381,172.6334"
qsr-place:880,183 Greers Road,"-43.5042,172.5816"
qsr-place:300,183 Hereford Street,"-43.5319,172.6402"
qsr-place:1192,"183 High Street, Rangiora","-43.3037,172.5934"
qsr-place:2281,183 Montreal Street,"-43.5382,172.6303"
qsr-place:2552,183 Shaw Avenue,"-43.5072,172.7268"
qsr-place:1368,183 Victoria Street,"-43.5212,172.6281"
qsr-place:341,184 Armagh Street,"-43.5289,172.6391"
qsr-place:410,184 Ferry Road,"-43.5393,172.6540"
qsr-place:655,184 High Street,"-43.5344,172.64"
qsr-place:230,184 Manchester Street,"-43.5308,172.6398"
qsr-place:1664,184 Oxford Terrace,"-43.5301,172.6344"
qsr-place:1523,184 St Asaph Street,"-43.5365,172.6368"
qsr-place:1948,185 Kilmore Street,"-43.5263,172.6406"
qsr-place:2523,185 Shaw Avenue,"-43.5074,172.7268"
qsr-place:2263,185 Victoria Street,"-43.5211,172.6280"
qsr-place:342,186 Armagh Street,"-43.5289,172.6392"
qsr-place:2911,186 Ferry Road,"-43.5394,172.6545"
qsr-place:1935,186 Hereford Street,"-43.5322,172.6399"
qsr-place:984,186 High Street,"-43.5344,172.6401"
qsr-place:1530,186 Tuam Street,"-43.5359,172.6374"
qsr-place:670,187 Cashel Street,"-43.5331,172.6405"
qsr-place:2153,187 Fitzgerald Avenue,"-43.5297,172.6503"
qsr-place:456,187 Manchester Street,"-43.5324,172.6395"
qsr-place:2730,187 Queensbury Street,"-43.5020,172.6770"
qsr-place:2881,187 River Road,"-43.5232,172.6593"
qsr-place:160,188 High Street,"-43.5343,172.6401"
qsr-place:2331,188 Main Road,"-43.5625,172.7390"
qsr-place:762,188 Manchester Street,"-43.5307,172.6398"
qsr-place:2461,"188 Williams Street, Kaiapoi","-43.3820,172.6588"
qsr-place:2280,189 Montreal Street,"-43.5379,172.6304"
qsr-place:1067,189 Papanui Road,"-43.5125,172.6219"
qsr-place:1379,189 Peterborough Street,"-43.5250,172.6352"
qsr-place:2734,189 Queensbury Street,"-43.5018,172.6768"
qsr-place:2483,189 Raven Quay,"-43.3865,172.6617"
qsr-place:1802,189 Tuam Street,"-43.5351,172.6391"
qsr-place:2135,19 Admirals Way,"-43.5150,172.7281"
qsr-place:1796,19 Bedford Row,"-43.5334,172.6409"
qsr-place:943,19 Felstead Place,"-43.5073,172.5561"
qsr-place:1572,19 Ferry Road,"-43.5366,172.6446"
qsr-place:1449,19 Helmores Lane,"-43.5219,172.6152"
qsr-place:1593,19 London Street,"-43.6028,172.7214"
qsr-place:1469,19 Main Road,"-43.5573,172.7335"
qsr-place:810,19 Marley View Street,"-43.5690,172.6176"
qsr-place:1647,19 Oxford Street,"-43.6033,172.7222"
qsr-place:2794,19 Parish Street,"-43.5009,172.6794"
qsr-place:2768,19 Reaby Street,"-43.5020,172.6793"
qsr-place:2887,19 Vogel Street,"-43.5216,172.6575"
qsr-place:1396,190 Durham Street South,"-43.5367,172.6337"
qsr-place:101,190 Hereford Street,"-43.5322,172.6404"
qsr-place:1277,"190 Williams Street, Kaiapoi","-43.3818,172.6591"
qsr-place:1808,191 Armagh Street,"-43.5286,172.6421"
qsr-place:2205,191 Fitzgerald Avenue,"-43.5295,172.6502"
qsr-place:996,191 High Street,"-43.5350,172.6404"
qsr-place:2164,192 Bridle Path Road,"-43.5686,172.7101"
qsr-place:1789,192 Cashel Street,"-43.5333,172.6402"
qsr-place:77,192 Gloucester Street,"-43.5305,172.6400"
qsr-place:364,192 Hereford Street,"-43.5322,172.6405"
qsr-place:759,192 Madras Street,"-43.5358,172.6430"
qsr-place:1735,192 Manchester Street,"-43.5305,172.6399"
qsr-place:78,192 Moorhouse Avenue,"-43.5401,172.6304"
qsr-place:1204,192 Salisbury Street,"-43.5247,172.6411"
qsr-place:242,193 Cashel Street,"-43.533,172.6409"
qsr-place:1799,193 Madras Street,"-43.5356,172.6424"
qsr-place:629,193 New Brighton Road,"-43.5038,172.6818"
qsr-place:159,194 Gloucester Street,"-43.5300,172.6406"
qsr-place:79,194 Hereford Street,"-43.5322,172.6408"
qsr-place:158,194 Manchester Street,"-43.5304,172.6399"
qsr-place:962,194 Oxford Terrace,"-43.5294,172.6352"
qsr-place:202,195 Armagh Street,"-43.5286,172.6422"
qsr-place:1005,195 Hereford Street,"-43.5319,172.6412"
qsr-place:2064,195 Papanui Road,"-43.5122,172.6215"
qsr-place:482,196 Gloucester Street,"-43.5302,172.6409"
qsr-place:2326,196 Madras Street,"-43.5356,172.6429"
qsr-place:388,196 Manchester Street,"-43.5303,172.6399"
qsr-place:1205,196 Papanui Road,"-43.5122,172.6219"
qsr-place:1159,196 Tuam Street,"-43.5354,172.6381"
qsr-place:2480,"196 Williams Street, Kaiapoi","-43.3817,172.6597"
qsr-place:873,196 Wordsworth Street,"-43.5449,172.6458"
qsr-place:2484,"197 Williams Street, Kaiapoi","-43.3785,172.6621"
qsr-place:1828,198 Armagh Street,"-43.5289,172.6398"
qsr-place:505,198 Gloucester Street,"-43.5300,172.6411"
qsr-place:80,198 Hereford Street,"-43.5322,172.6411"
qsr-place:640,198 Madras Street,"-43.5356,172.6429"
qsr-place:2240,198 Main Road,"-43.5627,172.7395"
qsr-place:389,198 Manchester Street,"-43.5302,172.6399"
qsr-place:2093,198 Papanui Road,"-43.5121,172.6219"
qsr-place:236,199 Armagh Street,"-43.5286,172.6419"
qsr-place:1160,199 Cashel Street,"-43.5329,172.6411"
qsr-place:999,199 Madras Street,"-43.5351,172.6425"
qsr-place:956,199 Rocking Horse Road,"-43.5555,172.7502"
qsr-place:2456,2 Alymers Valley Road,"-43.8137,172.9611"
qsr-place:2496,2 Bangor Street,"-43.5262,172.6493"
qsr-place:776,2 Batten Grove,"-43.3784,172.7033"
qsr-place:1284,2 Bowhill Road,"-43.4950,172.7263"
qsr-place:538,2 Brook Street,"-43.5143,172.7179"
qsr-place:1949,2 Cambridge Terrace,"-43.5339,172.6280"
qsr-place:2,2 Cathedral Square,"-43.5317,172.6370"
qsr-place:157,2 Chester Street West,"-43.5278,172.6283"
qsr-place:1367,2 Dallington Terrace,"-43.5212,172.6723"
qsr-place:69,2 Dorset Street,"-43.5229,172.6278"
qsr-place:1753,2 Emmett Street,"-43.5077,172.6564"
qsr-place:792,2 Ethne Street,"-43.5021,172.6390"
qsr-place:215,2 Flavell Street,"-43.5774,172.7084"
qsr-place:2214,2 Gamblins Road,"-43.5594,172.6509"
qsr-place:234,2 Gerald Street,"-43.6401,172.4845"
qsr-place:2327,2 Halswell Road,"-43.5541,172.5934"
qsr-place:846,2 Hartley Avenue,"-43.5084,172.6101"
qsr-place:2313,2 Hopkins Street,"-43.546,172.672"
qsr-place:602,2 Larsens Road,"-43.5910,172.5687"
qsr-place:121,2 Latimer Square,"-43.5317,172.6436"
qsr-place:1954,2 London Street,"-43.6028,172.7226"
qsr-place:1257,2 Norwich Quay,"-43.6039,172.7226"
qsr-place:2646,2 Orari Street,"-43.5123,172.7182"
qsr-place:2190,2 Papanui Road,"-43.5203,172.6281"
qsr-place:2493,2 Rees Street,"-43.5254,172.6493"
qsr-place:1706,2 Reserve Terrace,"-43.6066,172.7267"
qsr-place:1274,2 Riccarton Avenue,"-43.534,172.626"
qsr-place:2486,2 Selwyn Avenue,"-43.8100,172.9633"
qsr-place:184,2 Sumner Road,"-43.6031,172.7228"
qsr-place:865,2 Tekoa Place,"-43.5722,172.6134"
qsr-place:529,2 Tilbury Place,"-43.517,172.6786"
qsr-place:2277,2 Turnbull Street,"-41.2742,174.7793"
qsr-place:2215,2 Wakefield Avenue,"-43.5686,172.7590"
qsr-place:2985,2 Waterman Place,"-43.5559,172.6979"
qsr-place:1654,2 Winchester Street,"-43.6018,172.7229"
qsr-place:914,20 Achilles Street,"-43.5101,172.6667"
qsr-place:717,20 Birch Street,"-43.5153,172.7205"
qsr-place:2189,20 Canon Street,"-43.5159,172.6372"
qsr-place:1089,20 Gloucester Street,"-43.5298,172.6289"
qsr-place:826,20 Heyders Road,"-43.4322,172.6973"
qsr-place:2613,"20 Jollie Street, Kaiapoi","-43.3864,172.6663"
qsr-place:156,20 Jubilee Street,"-43.5589,172.6864"
qsr-place:1345,20 Kirkwood Avenue,"-43.5279,172.5847"
qsr-place:2752,20 Liggins Street,"-43.5008,172.6761"
qsr-place:11,20 Moorhouse Avenue,"-43.3226,172.3757"
qsr-place:890,20 Nancy Avenue,"-43.5006,172.6392"
qsr-place:895,20 Palmside Street,"-43.5700,172.6141"
qsr-place:309,20 Peacock Street,"-43.5219,172.6326"
qsr-place:636,20 Rosella Street,"-43.5221,172.535"
qsr-place:2676,20 Seabreeze Close,"-43.5189,172.7201"
qsr-place:2622,20 Sewell Street,"-43.3802,172.6590"
qsr-place:2672,20 Waygreen Avenue,"-43.5003,172.7051"
qsr-place:700,20 Welles Street,"-43.5371,172.6379"
qsr-place:2201,20 Wiggins Street,"-43.5721,172.7607"
qsr-place:2165,200 Bridle Path Road,"-43.5683,172.7101"
qsr-place:1790,200 Cashel Street,"-43.5333,172.6405"
qsr-place:506,200 Gloucester Street,"-43.5300,172.6412"
qsr-place:2915,200 Hackthorne Road,"-43.5815,172.6354"
qsr-place:1800,200 High Street,"-43.5337,172.6392"
qsr-place:1380,200 Kilmore Street,"-43.5268,172.6442"
qsr-place:1191,200 Madras Street,"-43.5354,172.6429"
qsr-place:1824,200 Manchester Street,"-43.5300,172.6398"
qsr-place:2092,200 Papanui Road,"-43.5120,172.6219"
qsr-place:2213,200 Tuam Street,"-43.5353,172.6385"
qsr-place:1415,201 Cambridge Terrace,"-43.5268,172.6375"
qsr-place:1161,201 Cashel Street,"-43.5330,172.6412"
qsr-place:558,201 Gayhurst Road,"-43.5080,172.6728"
qsr-place:994,201 High Street,"-43.5349,172.6402"
qsr-place:1775,201 Manchester Street,"-43.5318,172.6394"
qsr-place:2257,201 Papanui Road,"-43.5121,172.6216"
qsr-place:2732,201 Queensbury Street,"-43.5015,172.6769"
qsr-place:1529,201 Tuam Street,"-43.5352,172.6400"
qsr-place:2188,202 Bealey Avenue,"-43.5212,172.6408"
qsr-place:1793,202 Cashel Street,"-43.5334,172.6407"
qsr-place:155,202 Gloucester Street,"-43.5300,172.6414"
qsr-place:301,202 Hereford Street,"-43.5322,172.6413"
qsr-place:1801,202 High Street,"-43.5335,172.6390"
qsr-place:2369,202 Hills Road,"-43.509,172.652"
qsr-place:758,202 Madras Street,"-43.5351,172.6429"
qsr-place:2094,202 Papanui Road,"-43.5119,172.6217"
qsr-place:2155,203 Cashel Street,"-43.5329,172.6415"
qsr-place:1293,203 Gloucester Street,"-43.5295,172.6401"
qsr-place:1157,203 Hereford Street,"-43.5318,172.6418"
qsr-place:995,203 High Street,"-43.5349,172.6401"
qsr-place:1551,203 Lichfield Street,"-43.5340,172.6467"
qsr-place:2066,203 Papanui Road,"-43.5120,172.6214"
qsr-place:2744,203 Queensbury Street,"-43.5014,172.6769"
qsr-place:2151,203 Tuam Street,"-43.5352,172.6400"
qsr-place:82,203 Waltham Road,"-43.5446,172.6465"
qsr-place:722,204 Barbadoes Street,"-43.5350,172.6459"
qsr-place:777,204 Madras Street,"-43.535,172.643"
qsr-place:83,204 Manchester Street,"-43.5300,172.6400"
qsr-place:1209,204 Papanui Road,"-43.5118,172.6216"
qsr-place:1455,204 Peterborough Street,"-43.5257,172.6421"
qsr-place:2150,204 St Asaph Street,"-43.5365,-43.5364"
qsr-place:547,205 Kingsford Street,"-43.4971,172.6762"
qsr-place:1425,205 Manchester Street,"-43.5317,172.6392"
qsr-place:1212,205 Papanui Road,"-43.5118,172.6215"
qsr-place:2748,205 Queensbury Street,"-43.5013,172.6761"
qsr-place:785,206 Madras Street,"-43.5350,172.6429"
qsr-place:1803,206 Tuam Street,"-43.5355,172.6387"
qsr-place:2627,207 Durham Street South,"-43.5371,172.6334"
qsr-place:1792,208 Cashel Street,"-43.5334,172.6409"
qsr-place:154,208 Hereford Street,"-43.5323,172.6418"
qsr-place:2368,208 Madras Street,"-43.5348,172.6429"
qsr-place:1962,208 Oxford Terrace,"-43.5278,172.6369"
qsr-place:1813,209 Cambridge Terrace,"-43.5271,172.6378"
qsr-place:1528,209 High Street,"-43.5348,172.6401"
qsr-place:2750,209 Queensbury Street,"-43.5011,172.6764"
qsr-place:695,209 Tuam Street,"-43.5352,172.6403"
qsr-place:2913,21 Aldwins Road,"-43.5416,172.6661"
qsr-place:2228,21 Church Square,"-43.5438,172.6186"
