place,title,coverage
qsr-place:2580,1063 Ferry Road,"-43.5577,172.7051"
qsr-place:2335,1068 Lower Styx Road,"-43.4015,172.6958"
qsr-place:372,107 Armagh Street,"-43.5286,172.6375"
qsr-place:168,107 Bealey Avenue,"-43.5205,172.6329"
qsr-place:1934,107 Cambridge Terrace,"-43.5317,172.6325"
qsr-place:945,107 Canon Street,"-43.5155,172.6428"
qsr-place:9,107 Cashel Street,"-43.5326,172.6356"
qsr-place:2610,107 Cass Street,"-43.3849,172.6702"
qsr-place:1097,107 Hereford Street,"-43.5324,172.6350"
qsr-place:1966,107 Manchester Street,"-43.5359,172.6394"
qsr-place:1444,1070 Ferry Road,"-43.5586,172.7072"
qsr-place:599,1075 Lower Styx Road,"-43.4008,172.6953"
qsr-place:2485,108 Charles Street,"-43.3858,172.6643"
qsr-place:483,108 Hereford Street,"-43.5322,172.6354"
qsr-place:1471,108 Main Road,"-43.5571,172.7322"
qsr-place:992,108 Manchester Street,"-43.5352,172.6398"
qsr-place:1203,108 Rocking Horse Road,"-43.5481,172.7455"
qsr-place:2440,109 Bexley Road,"-43.5095,172.7171"
qsr-place:113,109 Cambridge Terrace,"-43.5316,172.6323"
qsr-place:406,109 Cashel Street,"-43.5328,172.6357"
qsr-place:1183,109 Manchester Street,"-43.5359,172.6394"
qsr-place:2442,"109 Wakefield Street, Wellington","-41.2893,174.7774"
qsr-place:1766,109 Worcester Street,"-43.5308,172.6387"
qsr-place:1447,1091 Ferry Road,"-43.5575,172.7060"
qsr-place:802,11 Aintree Street,"-43.4816,172.5805"
qsr-place:2857,11 Bracken Street,"-43.5209,172.6639"
qsr-place:877,11 Cross Street,"-43.5378,172.6579"
qsr-place:821,11 Dampier Street,"-43.5448,172.6687"
qsr-place:1642,11 London Street,"-43.6029,172.7220"
qsr-place:937,11 Longview Place,"-43.4985,172.6992"
qsr-place:400,11 Main North Road,"-43.4966,172.6077"
qsr-place:839,11 Mandalay Lane,"-43.5670,172.7336"
qsr-place:1337,11 Marshland Road,"-43.5069,172.6626"
qsr-place:543,11 Mitcham Place,"-43.5083,172.7185"
qsr-place:2492,11 Rees Street,"-43.5251,172.6498"
qsr-place:190,11 Rolleston Avenue,"-43.5309,172.6269"
qsr-place:800,11 Shelley Street,"-43.5524,172.6356"
qsr-place:894,11 St Ives Street,"-43.4822,172.5798"
qsr-place:2662,11 Waygreen Avenue,"-43.5002,172.7046"
qsr-place:284,110 Cashel Street,"-43.5333,172.6349"
qsr-place:2603,"110 Charles Street, Kaiapoi","-43.3859,172.6645"
qsr-place:676,110 Gloucester Street,"-43.5300,172.6357"
qsr-place:1772,110 Lichfield Street,"-43.5343,172.6392"
qsr-place:463,110 Riccarton Road,"-43.5296,172.6002"
qsr-place:2487,110 Rue Jolie,"-43.8092,172.9633"
qsr-place:10,111 Cashel Street,"-43.5328,172.6358"
qsr-place:965,111 Gloucester Street,"-43.5297,172.6363"
qsr-place:1100,111 Hereford Street,"-43.5319,172.6358"
qsr-place:1985,111 Lichfield Street,"-43.5340,172.6404"
qsr-place:1988,111 Manchester Street,"-43.5357,172.6394"
qsr-place:2430,111 Riccarton Road,"-43.5299,172.6001"
qsr-place:2336,111 Rocking Horse Road,"-43.548,172.747"
qsr-place:2537,111 Worcester Street,"-43.5305,172.6387"
qsr-place:2704,112 Bexley Road,"-43.5099,172.7164"
qsr-place:1031,112 Cashel Street,"-43.5333,172.6351"
qsr-place:169,112 Centaurus Road,"-43.5663,172.6479"
qsr-place:1782,112 Hereford Street,"-43.5323,172.6356"
qsr-place:991,112 Manchester Street,"-43.5350,172.6398"
qsr-place:575,112 Riccarton Road,"-43.5296,172.6000"
qsr-place:712,112 Waitaki Street,"-43.5145,172.7212"
qsr-place:2392,113 Bexley Road,"-43.5099,172.7172"
qsr-place:390,113 Cashel Street,"-43.5327,172.6360"
qsr-place:1508,113 Lichfield Street,"-43.5341,172.6406"
qsr-place:1555,113 Manchester Street,"-43.5357,172.6395"
qsr-place:2446,113 Raven Quay,"-43.3821,172.6559"
qsr-place:1394,113 Tuam Street,"-43.5351,172.6346"
qsr-place:771,113 Victoria Street,"-43.5239,172.6299"
qsr-place:2489,1131 Okains Bay Road,"-43.7106,173.0395"
qsr-place:806,114 Cobham Street,"-43.5544,172.6129"
qsr-place:674,114 Gloucester Street,"-43.5300,172.6358"
qsr-place:2935,114 Hawford Road,"-43.5544,172.6638"
qsr-place:13,114 Lichfield Street,"-43.5343,172.6394"
qsr-place:2544,114 Manchester Street,"-43.5349,172.6399"
qsr-place:1374,114 Peterborough Street,"-43.5250,172.6352"
qsr-place:2554,114 Seaview Road,"-43.5077,172.7259"
qsr-place:835,1142 Springs Road,"-43.6229,172.4789"
qsr-place:2561,115 Brighton Mall,"-43.5078,172.7278"
qsr-place:391,115 Cashel Street,"-43.5330,172.6361"
qsr-place:2311,115 Eureka Street,"-43.506,172.708"
qsr-place:2183,115 Kilmore Street,"-43.5263,172.6360"
qsr-place:38,115 Lichfield Street,"-43.5340,172.6407"
qsr-place:2252,115 Manchester Street,"-43.5357,172.6395"
qsr-place:2474,115 Worcester Street,"-43.5308,172.6388"
qsr-place:1838,116 Cashel Street,"-43.5332,172.6352"
qsr-place:170,116 Centaurus Road,"-43.5660,172.6481"
qsr-place:2595,"116 Charles Street, Kaiapoi","-43.3862,172.6651"
qsr-place:1719,116 Durham Street South,"-43.5408,172.6339"
qsr-place:1640,116 Hereford Street,"-43.5321,172.6358"
qsr-place:1263,116 Lichfield Street,"-43.5344,172.6394"
qsr-place:1468,116 Main Road,"-43.5579,172.7333"
qsr-place:711,116 Peterborough Street,"-43.5256,172.6363"
qsr-place:1030,116 Worcester Street,"-43.5312,172.6392"
qsr-place:2305,1163 Okains Bay Road,"-43.709,173.043"
qsr-place:392,117 Cashel Street,"-43.5330,172.6362"
qsr-place:1526,117 Lichfield Street,"-43.5342,172.6413"
qsr-place:171,118 Bealey Avenue,"-43.5211,172.6349"
qsr-place:1910,118 Cashel Street,"-43.5332,172.6353"
qsr-place:2611,"118 Charles Street, Kaiapoi","-43.3864,172.6654"
qsr-place:1702,118 Durham Street South,"-43.5408,172.6339"
qsr-place:675,118 Gloucester Street,"-43.5300,172.6360"
qsr-place:1132,118 Hackthorne Road,"-43.5778,172.6291"
qsr-place:203,118 Hereford Street,"-43.5322,172.6361"
qsr-place:2058,118 Madras Street,"-43.5397,172.6429"
qsr-place:2416,118 Peterborough Street,"-43.5256,172.6364"
qsr-place:2059,118 Tuam Street,"-43.5356,172.6329"
qsr-place:262,119 Armagh Street,"-43.5283,172.6379"
qsr-place:393,119 Cashel Street,"-43.5327,172.6361"
qsr-place:14,119 Lichfield Street,"-43.5340,172.6411"
qsr-place:2253,119 Manchester Street,"-43.5356,172.6395"
qsr-place:635,119 Somerfield Street,"-43.5581,172.6342"
qsr-place:1885,119 Worcester Street,"-43.5308,172.6390"
qsr-place:387,12 Acton Street,"-43.5379,172.6292"
qsr-place:2893,12 Bracken Street,"-43.5209,172.6645"
qsr-place:1946,12 Dorset Street,"-43.5228,172.6279"
qsr-place:942,12 Fleete Street,"-43.5114,172.6803"
qsr-place:2514,12 Hereford Street,"-43.5322,172.6283"
qsr-place:767,12 Hood Avenue,"-43.3790,172.7039"
qsr-place:2658,12 Morganwood Street,"-43.5163,172.7215"
qsr-place:1409,12 Papanui Road,"-43.5201,172.6277"
qsr-place:881,12 Tosswill Road,"-43.5820,172.5128"
qsr-place:546,12 Viscount Place,"-43.4992,172.6760"
qsr-place:794,120 Clyde Road,"-43.5202,172.5906"
qsr-place:247,120 Hereford Street,"-43.5322,172.6362"
qsr-place:1184,"120 High Street, Rangiora","-43.3034,172.5947"
qsr-place:281,120 Manchester Street,"-43.5348,172.6398"
qsr-place:639,120 Modena Place,"-43.3746,172.5468"
qsr-place:528,121 Gayhurst Road,"-43.5141,172.6736"
qsr-place:219,121 Hereford Street,"-43.5318,172.6362"
qsr-place:337,121 Lichfield Street,"-43.5340,172.6412"
qsr-place:1057,121 Papanui Road,"-43.5158,172.6240"
qsr-place:1494,121 Salisbury Street,"-43.5242,172.6361"
qsr-place:2227,121 Tuam Street,"-43.5351,172.6351"
qsr-place:672,121 Worcester Street,"-43.5308,172.6390"
qsr-place:172,122 Avonside Drive,"-43.5257,172.6585"
qsr-place:689,122 Barbadoes Street,"-43.5383,172.6465"
qsr-place:2134,122 Gloucester Street,"-43.5300,172.6362"
qsr-place:1669,123 Gloucester Street,"-43.5297,172.6370"
qsr-place:1786,123 Lichfield Street,"-43.5340,172.6412"
qsr-place:2035,123 Salisbury Street,"-43.5242,172.6362"
qsr-place:254,123 Victoria Street,"-43.5237,172.6297"
qsr-place:980,124 Cashel Street,"-43.5333,172.6354"
qsr-place:1187,124 Kilmore Street,"-43.5267,172.6374"
qsr-place:617,124 Lichfield Street,"-43.5343,172.6403"
qsr-place:1472,124 Main Road,"-43.559,172.733"
qsr-place:1391,124 Oxford Terrace,"-43.5329,172.6340"
qsr-place:634,124 Somerfield Street,"-43.5584,172.635"
